state_name,county_name,trump,biden,other,population_2010,persons_under_5_years_percent_2014,persons_under_18_years_percent_2014,age_65_plus,female_persons_percent_2014,living_in_same_house_1_year__over_percent_20092013,foreign_born_persons_percent_20092013,non_english,edu_highschool,edu_batchelors,veterans_20092013,mean_travel_time_to_work_minutes_workers_age_16_20092013,housing_units_2014,homeownership_rate_20092013,housing_units_in_multiunit_structures_percent_20092013,median_value_of_owneroccupied_housing_units_20092013,households_20092013,persons_per_household_20092013,income,median_household_income_20092013,poverty,private_nonfarm_establishments_2013,private_nonfarm_employment__2013,private_nonfarm_employment_percent_change_20122013,nonemployer_establishments_2013,total_number_of_firms_2007,womenowned_firms_percent_2007,manufacturers_shipments_2007_1000,merchant_wholesaler_sales_2007_1000,retail_sales_2007_1000,retail_sales_per_capita_2007,accommodation_and_food_services_sales_2007_1000,building_permits_2014,land_area_in_square_miles_2010,density
Montana,Madison County,4191,1771,151,7691.0,3.8,15.7,26.3,47.5,86.1,2.3,2.3,94.8,32.7,798.0,21.7,6916.0,76.1,16.7,239600.0,3542.0,2.1,33062.0,47762.0,8.7,362.0,1980.0,1.9,1005.0,1074.0,0.0,0.0,0.0,48923.0,6628.0,14998.0,4.0,3587.48,2.1
Montana,McCone County,956,155,17,1734.0,3.4,19.9,22.5,49.0,96.2,0.1,0.9,94.4,18.6,181.0,14.2,1007.0,77.2,4.1,101600.0,760.0,2.34,27161.0,46667.0,7.4,59.0,351.0,0.6,174.0,315.0,0.0,0.0,0.0,18033.0,10497.0,745.0,0.0,2643.17,0.7
Montana,Meagher County,833,258,19,1891.0,5.8,18.7,26.2,49.1,83.3,1.5,1.8,89.8,17.4,220.0,16.3,1426.0,71.9,3.0,115700.0,716.0,2.62,20288.0,38182.0,13.6,72.0,276.0,3.0,180.0,0.0,0.0,0.0,0.0,16374.0,8541.0,2072.0,0.0,2391.91,0.8
Montana,Mineral County,1828,686,49,4223.0,4.7,18.3,26.6,47.3,91.8,0.7,0.6,89.2,12.1,639.0,22.9,2447.0,70.9,4.2,167300.0,1629.0,2.53,19859.0,33033.0,18.4,114.0,892.0,-0.3,305.0,591.0,24.9,0.0,0.0,46129.0,11886.0,6680.0,3.0,1219.44,3.5
Montana,Missoula County,26347,43357,2282,109299.0,5.4,19.4,13.6,49.7,77.9,2.8,4.6,94.5,39.1,8903.0,16.7,51411.0,58.8,26.5,237500.0,45523.0,2.36,25764.0,46117.0,16.5,4177.0,46400.0,-3.1,9374.0,14122.0,24.5,674892.0,860085.0,2179398.0,20589.0,269078.0,578.0,2593.42,42.1
Montana,Musselshell County,2423,413,45,4538.0,4.8,19.8,21.3,49.8,86.1,1.8,5.0,89.3,13.6,661.0,28.8,2657.0,78.5,6.6,106100.0,1966.0,2.36,23022.0,43409.0,13.0,113.0,914.0,-3.7,376.0,0.0,0.0,0.0,5025.0,33610.0,7526.0,3467.0,0.0,1868.16,2.4
Montana,Park County,6025,5280,313,15636.0,4.7,19.1,19.5,49.8,89.9,2.4,4.0,93.2,33.6,1386.0,22.2,9368.0,75.1,10.3,204500.0,6445.0,2.39,24611.0,42426.0,12.3,772.0,4504.0,2.5,2097.0,2212.0,25.7,0.0,26285.0,208923.0,13036.0,61864.0,34.0,2803.06,5.6
Montana,Petroleum County,298,39,14,494.0,2.3,21.9,21.0,45.4,89.0,0.4,0.8,96.0,15.4,70.0,16.8,327.0,76.0,3.3,83200.0,233.0,2.31,22714.0,41705.0,11.1,11.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,409.0,0.0,1654.87,0.3
Montana,Phillips County,1936,416,34,4253.0,6.1,22.6,20.5,50.3,93.2,1.2,1.2,91.8,15.9,385.0,15.9,2319.0,76.4,5.2,86600.0,1800.0,2.28,22890.0,42632.0,14.0,137.0,824.0,-3.9,372.0,428.0,0.0,0.0,80846.0,34033.0,8612.0,4135.0,1.0,5140.04,0.8
Montana,Pondera County,2031,903,61,6153.0,6.6,24.5,19.6,51.3,83.3,3.1,9.0,87.0,20.5,477.0,17.4,2641.0,69.1,11.0,99000.0,2302.0,2.52,22256.0,41277.0,17.5,172.0,1396.0,2.4,432.0,496.0,6.5,0.0,46119.0,64672.0,10886.0,4191.0,0.0,1622.86,3.8
